Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,1.270000,1.380000,1.230000,1.380000,1.380000,38400
2019-10-01,1.380000,1.380000,1.310000,1.370000,1.370000,6000
2019-10-02,1.320000,1.350000,1.240000,1.260000,1.260000,27100
2019-10-03,1.220000,1.280000,1.200000,1.250000,1.250000,7600
2019-10-04,1.240000,1.250000,1.180000,1.220000,1.220000,33200
2019-10-07,1.210000,1.320000,1.170000,1.220000,1.220000,18800
2019-10-08,1.200000,1.290000,1.180000,1.190000,1.190000,6100
2019-10-09,1.200000,1.250000,1.190000,1.220000,1.220000,2600
2019-10-10,1.210000,1.210000,1.160000,1.160000,1.160000,5400
2019-10-11,1.160000,1.240000,1.070000,1.210000,1.210000,28900
2019-10-14,1.180000,1.220000,1.160000,1.200000,1.200000,10200
2019-10-15,1.200000,1.240000,1.170000,1.200000,1.200000,22400
2019-10-16,1.230000,1.240000,1.210000,1.230000,1.230000,16400
2019-10-17,1.220000,1.280000,1.220000,1.250000,1.250000,12700
2019-10-18,1.210000,1.310000,1.210000,1.240000,1.240000,27900
2019-10-21,1.270000,1.270000,1.210000,1.210000,1.210000,8200
2019-10-22,1.210000,1.270000,1.210000,1.250000,1.250000,23400
2019-10-23,1.300000,1.880000,1.300000,1.790000,1.790000,767200
2019-10-24,1.820000,1.880000,1.680000,1.850000,1.850000,233900
2019-10-25,1.870000,1.870000,1.600000,1.790000,1.790000,167100
2019-10-28,1.790000,2.000000,1.790000,1.920000,1.920000,244600
2019-10-29,1.900000,2.090000,1.860000,1.950000,1.950000,178200
2019-10-30,1.950000,2.030000,1.910000,1.910000,1.910000,76200
2019-10-31,1.930000,1.990000,1.920000,1.960000,1.960000,32300
2019-11-01,1.950000,2.000000,1.830000,1.880000,1.880000,83400
2019-11-04,1.900000,1.980000,1.790000,1.850000,1.850000,92900
2019-11-05,1.860000,2.000000,1.860000,1.940000,1.940000,70800
2019-11-06,1.930000,1.970000,1.900000,1.910000,1.910000,55500
2019-11-07,1.960000,1.960000,1.350000,1.550000,1.550000,199400
2019-11-08,1.460000,1.540000,1.360000,1.420000,1.420000,121400
2019-11-11,1.330000,1.470000,1.310000,1.380000,1.380000,42300
2019-11-12,1.390000,1.570000,1.370000,1.410000,1.410000,33100
2019-11-13,1.390000,1.500000,1.380000,1.410000,1.410000,30800
2019-11-14,1.450000,1.500000,1.420000,1.430000,1.430000,25300
2019-11-15,1.420000,1.450000,1.210000,1.410000,1.410000,37300
2019-11-18,1.360000,1.480000,1.360000,1.420000,1.420000,61400
2019-11-19,1.440000,1.570000,1.430000,1.510000,1.510000,33500
2019-11-20,1.500000,1.740000,1.500000,1.590000,1.590000,66000
2019-11-21,1.700000,1.700000,1.550000,1.570000,1.570000,42000
2019-11-22,1.640000,1.640000,1.440000,1.510000,1.510000,37200
2019-11-25,1.560000,1.670000,1.560000,1.610000,1.610000,88900
2019-11-26,1.630000,1.660000,1.470000,1.470000,1.470000,58500
2019-11-27,1.630000,1.670000,1.550000,1.670000,1.670000,15600
