"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2020","94.269","94.550","94.560","94.145","0.12K","-0.40%"
"Sep 25, 2020","94.647","94.370","94.690","94.215","0.08K","0.31%"
"Sep 24, 2020","94.358","94.280","94.580","94.215","0.13K","-0.04%"
"Sep 23, 2020","94.398","94.040","94.425","93.950","0.18K","0.45%"
"Sep 22, 2020","93.978","93.560","94.075","93.460","0.13K","0.36%"
"Sep 21, 2020","93.639","92.995","93.750","92.995","0.04K","0.79%"
"Sep 18, 2020","92.907","92.800","92.945","92.770","0.02K","-0.01%"
"Sep 17, 2020","92.919","93.370","93.370","92.865","0.02K","-0.27%"
"Sep 16, 2020","93.171","93.070","93.085","92.760","0.02K","0.16%"
"Sep 15, 2020","93.025","93.070","93.185","92.790","18.64K","-0.04%"
"Sep 14, 2020","93.060","93.335","93.340","92.865","24.01K","-0.30%"
"Sep 11, 2020","93.338","93.365","93.400","93.075","27.44K","0.02%"
"Sep 10, 2020","93.316","93.255","93.445","92.680","34.05K","0.08%"
"Sep 09, 2020","93.244","93.545","93.640","93.100","12.55K","-0.19%"
"Sep 08, 2020","93.425","93.055","93.515","92.990","14.64K","0.77%"
"Sep 07, 2020","92.709","92.785","93.080","92.785","2.89K","0.00%"
"Sep 04, 2020","92.709","92.825","93.245","92.660","5.77K","-0.03%"
"Sep 03, 2020","92.735","92.690","93.075","92.690","2.51K","-0.11%"
"Sep 02, 2020","92.839","92.265","92.880","92.265","1.29K","0.54%"
"Sep 01, 2020","92.342","92.135","92.405","91.750","1.12K","0.22%"
"Aug 31, 2020","92.141","92.230","92.500","92.010","1.31K","-0.27%"
"Aug 28, 2020","92.389","93.100","93.100","92.200","0.94K","-0.66%"
"Aug 27, 2020","93.006","92.850","93.350","92.445","0.57K","-0.02%"
"Aug 26, 2020","93.026","93.030","93.365","92.860","0.80K","-0.02%"
"Aug 25, 2020","93.049","93.380","93.395","92.990","0.37K","-0.29%"
"Aug 24, 2020","93.319","93.200","93.380","92.880","0.23K","0.05%"
"Aug 21, 2020","93.270","92.690","93.500","92.610","0.35K","0.50%"
"Aug 20, 2020","92.808","93.045","93.240","92.740","0.29K","-0.11%"
"Aug 19, 2020","92.910","92.250","93.080","92.190","0.20K","0.68%"
"Aug 18, 2020","92.286","92.795","92.795","92.135","0.39K","-0.63%"
"Aug 17, 2020","92.872","93.070","93.135","92.800","0.28K","-0.26%"
"Aug 14, 2020","93.110","93.325","93.400","93.060","0.09K","-0.25%"
"Aug 13, 2020","93.342","93.295","93.400","92.925","0.17K","-0.10%"
"Aug 12, 2020","93.433","93.735","93.915","93.245","0.14K","-0.21%"
